COMP_ID,CPNAME,CPADDRESS1,CPADDRESS2,CPCITY,CPSTATE,CPZIP,CPPHONE,CPFAX,CPNOTES,TRACK_NO,IBM_NO,TAX_ID_TYP,TAX_ID,CPGROUP,SOB,DISABILITY,GLIABILITY,WORKCOMP,HIC,CONTRACTOR,CTL_NO,DM,CN,CC,FH,SR,SPECINSP,SI_NO,MOD_BY,MOD_WHEN
1,*INDIVIDUAL*,,,,,,,,,,,C,,01,,,,,,,,,,,,,,,0,
2,*UNKNOWN*,,,,,,,,,,,C,,01,,,,,,,,,,,,,,,0,
3,108 EAST 37TH STREET OWNERS CORP. C/0 IR,228 EAST 48TH STREET,,NEW YORK,NY,10017,2127547100,,,,,C,,01,,,,,,,,,,,,,,,0,
4,119 NY BLVD CORP.,64 EAST MERRICK ROAD,,VALLEY STREAM,NY,11580,5168721118,,,,13096,C,,01,,,,,,True,,,,,,,,,0,
5,141 REALTY COMPANY,60 CUTTER HILL ROAD,,GREAT NECK,NY,11021,5164661500,,,,,C,,01,,,,,,,,,,,,,,,0,
6,15 WEST 12TH STREET APARTMENT CORP.,15 WEST 12TH STREET,,NEW YORK,NY,10011,2126751509,,,,,C,,01,,,,,,,,,,,,,,,0,
7,2 TUDOR CITY TENANTS CORP.,360 LEXINGTON AVENUE,,NEW YORK,NY,10017,2123701480,,,,,C,,01,,,,,,,,,,,,,,,0,
8,200 EAST 135TH STREET LLC,200 EAST 135TH STREET,,BRONX,NY,10451,7185857867,,,,,C,,01,,,,,,,,,,,,,,,0,
9,"200 EAST 16TH STREET HOUSING, INC.",200 EAST 16TH STREET,,NEW YORK,NY,10003,,,,,,C,,01,,,,,,,,,,,,,,,0,
10,305 EAST 24TH OWNERS CORP.,305 EAST 24TH STREET,,NEW YORK,NY,10010,2126794665,,,,,C,,01,,,,,,,,,,,,,,,0,
11,310 LEXINGTON AVENUE OWNER'S CORP.,211 EAST 46TH STREET,,NEW YORK,NY,10017,2123768600,,,,,C,,01,,,,,,,,,,,,,,,0,
12,322 REALTY CORP.,322 CENTRAL PARK WEST,,NEW YORK,NY,10025,2122473767,,,,,C,,01,,,,,,,,,,,,,,,0,
13,3280 BROADWAY REALTY CO.,3280 BROADWAY,,NEW YORK,NY,10027,2129263280,,,,,C,,01,,,,,,,,,,,,,,,0,
14,340 EAST 34TH ST LLC,309 EAST 45TH STREET,,NEW YORK,NY,10017,2129841718,,,,,C,,01,,,,,,,,,,,,,,,0,
15,40 REALTY/LLC C/ GLENWOOD MGMT CORP.,1200 UNION TURNPIKE,,NEW HYDE PARK,NY,11040,7183430909,,,,,C,,01,,,,,,,,,,,,,,,0,
16,4525 & 4555 APARTMENTS CORP,4555 HENRY HUDSON PARKWAY,,BRONX,NY,10471,7187966804,,,,,C,,01,,,,,,,,,,,,,,,0,
17,"53 GRAND ASSOCIATES, LLC",700 HICKSVILLE ROAD,,BETHPAGE,NY,11714,5165763165,,,,,C,,01,,,,,,,,,,,,,,,0,
18,"56TH STREET ASSOCIATES, L.L.C",625 MADISON AVENUE,,NEW YORK,NY,10022,,,,,,C,,01,,,,,,,,,,,,,,,0,
19,60 TENANTS CORPORATION,"60 EAST 96TH STREET, APT. 11C",,NEW YORK,NY,10128,2124231194,,,,,C,,01,,,,,,,,,,,,,,,0,
20,670 APTS CORPORATION,670 WEST END AVENUE,,NEW YORK,NY,10025,2122472603,,,,,C,,01,,,,,,,,,,,,,,,0,
21,940 PARK AVENUE OWNER'S CORP.,940 PARK AVENUE,,NEW YORK,NY,11103,7185451200,,,,,C,,01,,,,,,,,,,,,,,,0,
22,9876 BOWERY REALTY CORP.,164 BOWERY,,NEW YORK,NY,10012,2129664282,,,,,C,,01,,,,,,,,,,,,,,,0,
23,245 EAST 37TH STREET REALTY CORP,"152 WEST 57TH STREET, 12TH",,NEW YORK,NY,10019,2123070500,,,,,C,,01,,,,,,,,,,,,,,,56,2013-12-10 13:57:44.999000
24,ACRO CO. MANAGEMENT INC.,"214-26 41ST AVENUE, SUITE 203",,BAYSIDE,NY,11361,7182811411,,,,,C,,01,,,,,,,,,,,,,,,0,
25,ADRIA PLUMBING & MECHANICAL,38 NORMAN AVENUE,,BROOKLYN,NY,11222,7187828206,,,,,C,,01,,,,,,,,,,,,,,,0,
